
FullName                                                                                                                                                                               LastWriteTime             Length
C:\Users\zoole\.antigravity\extensions\shopify.ruby-lsp-0.10.0-universal\readme.md                                                                                                     1/27/2026 10:04:37 PM      19019
C:\Users\zoole\.antigravity\extensions\shopify.ruby-lsp-0.10.0-universal\activation.rb                                                                                                 1/27/2026 10:04:37 PM        403
C:\Users\zoole\.antigravity\extensions\shopify.ruby-lsp-0.10.0-universal\chruby_activation.rb                                                                                          1/27/2026 10:04:37 PM        896
C:\Users\zoole\.antigravity\extensions\shopify.ruby-lsp-0.10.0-universal\eslint.config.mjs                                                                                             1/27/2026 10:04:37 PM       1548
C:\Users\zoole\.antigravity\extensions\shopify.ruby-lsp-0.10.0-universal\icon.png                                                                                                      1/27/2026 10:04:37 PM      57940
C:\Users\zoole\.antigravity\extensions\shopify.ruby-lsp-0.10.0-universal\snippets.json                                                                                                 1/27/2026 10:04:37 PM       4049
C:\Users\zoole\.antigravity\extensions\shopify.ruby-lsp-0.10.0-universal\.vsixmanifest                                                                                                 1/27/2026 10:04:37 PM       3122
C:\Users\zoole\.antigravity\extensions\kombai.kombai-1.4.263-win32-x64\package.json                                                                                                    1/27/2026 10:04:36 AM      11052
C:\Users\zoole\.antigravity\extensions\kombai.kombai-1.4.263-win32-x64\web-context\__generated__\api\context-api.js                                                                    1/27/2026 10:04:36 AM        825
C:\Users\zoole\.antigravity\extensions\kombai.kombai-1.4.263-win32-x64\web-context\__generated__\api\feedback-api.js                                                                   1/27/2026 10:04:36 AM       1262
C:\Users\zoole\.antigravity\extensions\kombai.kombai-1.4.263-win32-x64\web-context\__generated__\api\notification-api.js                                                               1/27/2026 10:04:36 AM       1219
C:\Users\zoole\.antigravity\extensions\kombai.kombai-1.4.263-win32-x64\web-context\__generated__\api\ping-api.js                                                                       1/27/2026 10:04:36 AM       2553
C:\Users\zoole\.antigravity\extensions\kombai.kombai-1.4.263-win32-x64\web-context\__generated__\api\page-meta-api.js                                                                  1/27/2026 10:04:36 AM       2638
C:\Users\zoole\.antigravity\extensions\kombai.kombai-1.4.263-win32-x64\web-context\__generated__\api\state-api.js                                                                      1/27/2026 10:04:36 AM       3409
C:\Users\zoole\.antigravity\extensions\kombai.kombai-1.4.263-win32-x64\features\repoContext\final_model.model                                                                          1/27/2026 10:04:36 AM     337410
C:\Users\zoole\.antigravity\extensions\kombai.kombai-1.4.263-win32-x64\features\repoContext\final_model.vocab                                                                          1/27/2026 10:04:36 AM     551554
C:\Users\zoole\.antigravity\extensions\kombai.kombai-1.4.263-win32-x64\assets\kombai-icon.svg                                                                                          1/27/2026 10:04:36 AM       6269
C:\Users\zoole\.antigravity\extensions\kombai.kombai-1.4.263-win32-x64\assets\kombai.png                                                                                               1/27/2026 10:04:36 AM      83703
C:\Users\zoole\.antigravity\extensions\kombai.kombai-1.4.263-win32-x64\walkthrough\step1.md                                                                                            1/27/2026 10:04:36 AM        793
C:\Users\zoole\.antigravity\extensions\kombai.kombai-1.4.263-win32-x64\assets\kombainewlogo.svg                                                                                        1/27/2026 10:04:36 AM       6551
C:\Users\zoole\.antigravity\extensions\kombai.kombai-1.4.263-win32-x64\walkthrough\step2.md                                                                                            1/27/2026 10:04:36 AM        720
C:\Users\zoole\.antigravity\extensions\kombai.kombai-1.4.263-win32-x64\walkthrough\step3.md                                                                                            1/27/2026 10:04:36 AM        375
C:\Users\zoole\.antigravity\extensions\kombai.kombai-1.4.263-win32-x64\walkthrough\step4.md                                                                                            1/27/2026 10:04:36 AM        886
C:\Users\zoole\.antigravity\extensions\kombai.kombai-1.4.263-win32-x64\walkthrough\step5.md                                                                                            1/27/2026 10:04:36 AM        946
C:\Users\zoole\.antigravity\extensions\kombai.kombai-1.4.263-win32-x64\bundle.js                                                                                                       1/27/2026 10:04:36 AM    4820117
C:\Users\zoole\.antigravity\extensions\kombai.kombai-1.4.263-win32-x64\bundle.js.LICENSE.txt                                                                                           1/27/2026 10:04:36 AM      33447
C:\Users\zoole\.antigravity\extensions\kombai.kombai-1.4.263-win32-x64\changelog.md                                                                                                    1/27/2026 10:04:36 AM        139
C:\Users\zoole\.antigravity\extensions\kombai.kombai-1.4.263-win32-x64\extension.js                                                                                                    1/27/2026 10:04:36 AM     887246
C:\Users\zoole\.antigravity\extensions\kombai.kombai-1.4.263-win32-x64\kombai-vendor-runtime.js                                                                                        1/27/2026 10:04:36 AM   12643575
C:\Users\zoole\.antigravity\extensions\kombai.kombai-1.4.263-win32-x64\kombai-vendor-runtime.js.LICENSE.txt                                                                            1/27/2026 10:04:36 AM       7053
C:\Users\zoole\.antigravity\extensions\kombai.kombai-1.4.263-win32-x64\LICENSE.txt                                                                                                     1/27/2026 10:04:36 AM       1448
C:\Users\zoole\.antigravity\extensions\kombai.kombai-1.4.263-win32-x64\readme.md                                                                                                       1/27/2026 10:04:36 AM       3272
C:\Users\zoole\.antigravity\extensions\kombai.kombai-1.4.263-win32-x64\uninstall.js                                                                                                    1/27/2026 10:04:36 AM       4132
C:\Users\zoole\.antigravity\extensions\kombai.kombai-1.4.263-win32-x64\vue-compiler-stub.js                                                                                            1/27/2026 10:04:36 AM        559
C:\Users\zoole\.antigravity\extensions\kombai.kombai-1.4.263-win32-x64\.vsixmanifest                                                                                                   1/27/2026 10:04:36 AM       2973
C:\Users\zoole\.aws\amazonq\cache\cache\a966437e930158d678c3ca7d4a03e1345b881f9c8dd0b6cf1ca728fbb09e0039-0.10-Antigravity.chunk                                                        1/26/2026 10:48:46 PM          0
C:\Users\zoole\.aws\amazonq\cache\cache\a966437e930158d678c3ca7d4a03e1345b881f9c8dd0b6cf1ca728fbb09e0039-0.10-Antigravity.mapping                                                      1/26/2026 10:48:46 PM          2
C:\Users\zoole\.aws\amazonq\cache\cache\a966437e930158d678c3ca7d4a03e1345b881f9c8dd0b6cf1ca728fbb09e0039-0.10-Antigravity.index                                                        1/26/2026 10:48:46 PM         45
C:\Users\zoole\.antigravity\extensions\kombai.kombai-1.4.262-win32-x64\telemetry.json                                                                                                  1/26/2026 10:48:28 PM        563
C:\Users\zoole\OneDrive\Desktop\WEEK 1\Kdin\short cut to da cut\screen shots windows\Screenshots\Screenshot 2026-01-26 224130.png                                                      1/26/2026 10:41:31 PM     219689
C:\Users\zoole\.antigravity\argv.json                                                                                                                                                  1/26/2026 10:04:24 PM        799
C:\Users\zoole\.gemini\antigravity\user_settings.pb                                                                                                                                    1/26/2026 9:43:13 PM           2
C:\Users\zoole\.antigravity\extensions\ms-mssql.mssql-1.9.0-universal\package.json                                                                                                     1/26/2026 8:47:01 PM       26470
C:\Users\zoole\.antigravity\extensions\ms-mssql.mssql-1.9.0-universal\node_modules\concat-map\test\map.js                                                                              1/26/2026 8:47:00 PM        1075
C:\Users\zoole\.antigravity\extensions\ms-mssql.mssql-1.9.0-universal\node_modules\concat-map\README.markdown                                                                          1/26/2026 8:47:00 PM        1165
C:\Users\zoole\.antigravity\extensions\ms-mssql.mssql-1.9.0-universal\node_modules\concat-map\package.json                                                                             1/26/2026 8:47:00 PM         989
C:\Users\zoole\.antigravity\extensions\ms-mssql.mssql-1.9.0-universal\node_modules\concat-map\LICENSE                                                                                  1/26/2026 8:47:00 PM        1073
C:\Users\zoole\.antigravity\extensions\ms-mssql.mssql-1.9.0-universal\node_modules\concat-map\index.js                                                                                 1/26/2026 8:47:00 PM         345
C:\Users\zoole\.antigravity\extensions\ms-mssql.mssql-1.9.0-universal\node_modules\concat-map\example\map.js                                                                           1/26/2026 8:47:00 PM         171
C:\Users\zoole\.antigravity\extensions\ms-mssql.mssql-1.9.0-universal\node_modules\concat-map\.travis.yml                                                                              1/26/2026 8:47:00 PM          43
C:\Users\zoole\.antigravity\extensions\ms-mssql.mssql-1.9.0-universal\node_modules\balanced-match\README.md                                                                            1/26/2026 8:47:00 PM        3308
C:\Users\zoole\.antigravity\extensions\ms-mssql.mssql-1.9.0-universal\node_modules\balanced-match\package.json                                                                         1/26/2026 8:47:00 PM        1073
C:\Users\zoole\.antigravity\extensions\ms-mssql.mssql-1.9.0-universal\node_modules\balanced-match\LICENSE.md                                                                           1/26/2026 8:47:00 PM        1096
C:\Users\zoole\.antigravity\extensions\ms-mssql.mssql-1.9.0-universal\node_modules\balanced-match\index.js                                                                             1/26/2026 8:47:00 PM        1174
C:\Users\zoole\.antigravity\extensions\ms-mssql.mssql-1.9.0-universal\node_modules\balanced-match\.npmignore                                                                           1/26/2026 8:47:00 PM          48
C:\Users\zoole\.antigravity\extensions\ms-mssql.mssql-1.9.0-universal\node_modules\wrappy\wrappy.js                                                                                    1/26/2026 8:47:00 PM         905
C:\Users\zoole\.antigravity\extensions\ms-mssql.mssql-1.9.0-universal\node_modules\wrappy\README.md                                                                                    1/26/2026 8:47:00 PM         685
C:\Users\zoole\.antigravity\extensions\ms-mssql.mssql-1.9.0-universal\node_modules\wrappy\package.json                                                                                 1/26/2026 8:47:00 PM         606
C:\Users\zoole\.antigravity\extensions\ms-mssql.mssql-1.9.0-universal\node_modules\wrappy\LICENSE                                                                                      1/26/2026 8:47:00 PM         765
C:\Users\zoole\.antigravity\extensions\ms-mssql.mssql-1.9.0-universal\node_modules\brace-expansion\README.md                                                                           1/26/2026 8:47:00 PM        4058
C:\Users\zoole\.antigravity\extensions\ms-mssql.mssql-1.9.0-universal\node_modules\brace-expansion\package.json                                                                        1/26/2026 8:47:00 PM        1113
C:\Users\zoole\.antigravity\extensions\ms-mssql.mssql-1.9.0-universal\node_modules\brace-expansion\LICENSE                                                                             1/26/2026 8:47:00 PM        1096
C:\Users\zoole\.antigravity\extensions\ms-mssql.mssql-1.9.0-universal\node_modules\brace-expansion\index.js                                                                            1/26/2026 8:47:00 PM        4792
C:\Users\zoole\.antigravity\extensions\ms-mssql.mssql-1.9.0-universal\node_modules\traverse\test\super_deep.js                                                                         1/26/2026 8:47:00 PM         925
C:\Users\zoole\.antigravity\extensions\ms-mssql.mssql-1.9.0-universal\node_modules\traverse\test\stringify.js                                                                          1/26/2026 8:47:00 PM        1038
C:\Users\zoole\.antigravity\extensions\ms-mssql.mssql-1.9.0-universal\node_modules\traverse\test\stop.js                                                                               1/26/2026 8:47:00 PM         990
C:\Users\zoole\.antigravity\extensions\ms-mssql.mssql-1.9.0-universal\node_modules\traverse\test\obj.js                                                                                1/26/2026 8:47:00 PM         346
C:\Users\zoole\.antigravity\extensions\ms-mssql.mssql-1.9.0-universal\node_modules\traverse\test\negative.js                                                                           1/26/2026 8:47:00 PM         556
C:\Users\zoole\.antigravity\extensions\ms-mssql.mssql-1.9.0-universal\node_modules\traverse\test\mutability.js                                                                         1/26/2026 8:47:00 PM        5320
C:\Users\zoole\.antigravity\extensions\ms-mssql.mssql-1.9.0-universal\node_modules\traverse\test\leaves.js                                                                             1/26/2026 8:47:00 PM         433
C:\Users\zoole\.antigravity\extensions\ms-mssql.mssql-1.9.0-universal\node_modules\traverse\test\json.js                                                                               1/26/2026 8:47:00 PM        1264
C:\Users\zoole\.antigravity\extensions\ms-mssql.mssql-1.9.0-universal\node_modules\traverse\test\interface.js                                                                          1/26/2026 8:47:00 PM        1031
C:\Users\zoole\.antigravity\extensions\ms-mssql.mssql-1.9.0-universal\node_modules\traverse\test\instance.js                                                                           1/26/2026 8:47:00 PM         452
C:\Users\zoole\.antigravity\extensions\ms-mssql.mssql-1.9.0-universal\node_modules\traverse\test\equal.js                                                                              1/26/2026 8:47:00 PM        5627
C:\Users\zoole\.antigravity\extensions\ms-mssql.mssql-1.9.0-universal\node_modules\traverse\test\date.js                                                                               1/26/2026 8:47:00 PM         780
